0|000401|20190930|1.719000|20191025|20181119||20181025|||20200203|20200107|3
0|000402|20190930|0.460000|20191031|20170410|||20190906|8902.62|20200203|20200121|3
0|000403|20190930|0.467100|20191019|20181116|||20190511|34.31|20181018|20200116|1
0|000404|20190930|0.087900|20191018|20180306|||||20200203|20200121|2
0|000407|20190930|0.130000|20191029|20190319|||20190213|583.31|20200203||
0|000408|20190930|0.186900|20191030|20200114|20200114|20180629|||20200203||
0|000409|20190930|-0.500300|20191031|20191121||20190114|||20200203|20200122|6
0|000410|20190930|-3.340000|20191031|20200122|20200203|20191113|20190322|-4000.00|20200204|20200131|6
0|000411|20190930|0.569000|20191026|20180926|||20190709|668.64|20200203|20191026|1
0|000413|20190930|0.200000|20191031|20191217|20191217|20191119|20200109|-2.00|20200203|20200123|6
0|000415|20190930|0.336700|20191031|20170413|||20191118|-1007.48|20200203||
0|000416|20190930|0.055800|20191031|20191213|20191213||||20200203|20200118|3
0|000417|20190930|0.205800|20191025|20200113|20200113||||20200203||
0|000419|20190930|0.254600|20191022|20160728|||||20200203||
0|000420|20190930|0.041500|20191031|20171208||20180615|20190604|-1.12|20200203|20200123|4
0|000421|20190930|0.152100|20191031|20180917|20191210||||20200203||
0|000422|20190930|0.035000|20191031|20191118||20180507|||20200204|20200118|4
0|000423|20190930|0.320300|20191031|20151221|||20190510|654.01|20200203|20200120|6
0|000425|20190930|0.363000|20191031|20171226|||20190604|27.70|20200203|20200123|1
0|000426|20190930|-0.056000|20191031|20191203|20191203|20180619|20190318|-3430.88|20200203|20200121|8
0|000428|20190930|-0.179000|20191026|20191202|20191202||20200113|-250.00|20200203|20200121|8
0|000429|20190930|0.530000|20191031|20170412|||||||
0|000430|20190930|0.098400|20191030|20151027|20190807||20191104|0.01|20200203|20200121|2
0|000488|20190930|0.150000|20191026|20161128|||20190619|0.10|20200203||
0|000498|20190930|0.335700|20191030|20181106||20191210|||20200203||
0|000501|20190930|1.070000|20191029|20151223|20200120||20191204|-1.25|20200203||
0|000502|20190930|-0.009800|20191031|20170523||20180601|||20200203|20200123|6
0|000503|20190930|-0.162700|20191030|20190711|20200115|20190322|20190218|-0.11|20200203|20200121|8
0|000504|20190930|-0.064500|20191030|20191122|20191105||||20200203|20200122|8
0|000505|20190930|0.120000|20191019|20191128|20191128|20190715|||20200203||
0|000506|20190930|-0.017700|20191030|20191120|20191120|20180228|||20200203|20200122|6
0|000507|20190930|0.172300|20191029|20190219|||20191216|0.17|20200203||
0|000509|20190930|0.010100|20191026|20191202|20191202|20180530|20191114|-605.48|20200203|20200121|6
0|000510|20190930|0.076500|20191026|20200108|20200108||||20200203|20200122|2
0|000513|20190930|1.110000|20191023|20151112|20200110||20191127|9.80||20200110|3
0|000514|20190930|0.013300|20191018|20191231|||||20200203|20200118|1
0|000516|20190930|-0.010000|20191030|20180417|||20190312|-0.07|20200203|20200131|6
0|000517|20190930|0.204300|20191029|20190904|||||20200203|20200122|1
0|000518|20190930|0.009200|20191031|20200204|20200123||20190221|-2151.68|20181011|20200117|8
0|000519|20190930|0.203900|20191029|20200108|20200108||20190506|0.01|20200203||
0|000520|20190930|0.029200|20191025|20190403|||20191217|235.70|20200203||
0|000521|20190930|0.077300|20191018|20190409||20180509|20190822|-7.87|20200203||
0|000523|20190930|0.035000|20191029|20191212|20200203|20180413|||20190517|20200123|1
0|000524|20190930|0.360000|20191030|20181116|||||20200203||
0|000525|20190930|0.501500|20191031|20191216|20191216||20191113|-58.00|20200203|20200123|2
0|000526|20190930|0.665200|20191031|20191025|20191029|20181019|20191126|54.31|20200203|20200122|13
0|000528|20190930|0.602800|20191030|20180515|||||20200203|20200123|3
0|000529|20190930|0.250000|20191030|20191023|20191023||20200106|-0.10|20200203|20200122|1
0|000530|20190930|0.123000|20191026|20190731|||20190702|-2.50|20200203||
0|000531|20190930|0.504600|20191029|20190508|||||20200203|20200118|1
0|000532|20190930|0.072500|20191025|20191017|20191217||20190517|-0.04|20200203||
0|000533|20190930|0.001900|20191030|20191015|20191018||||20200203|20200123|8
0|000534|20190930|0.165400|20191028|20190916|20190916|20181022|20190320|-4917.85|20200203||
0|000536|20190930|-0.539800|20191030|20191126|20191126||||20200203|20200123|14
0|000537|20190930|1.320000|20191031|20191220|20191220||20191101|0.10|20200203||
0|000538|20190930|2.770000|20191029|20191014|20191014|20190516|20200126|-165.70|||
0|000539|20190930|0.255000|20191031|20170412|||||20200203|20200118|1
0|000540|20190930|0.214900|20191025|20190225|||20200120|-10.00|20200203||
0|000541|20190930|0.164900|20191030|20151013|||20200120|-0.13|20200203||
0|000543|20190930|0.365400|20191031|20180307||20190325|20190726|224.40|20200203|20200122|1
0|000544|20190930|0.260000|20191026|20190821|20190821||||20200203|20200116|3
